rank,area,brma,geo,sample_min,mkt_1,mkt_2,mkt_3,lha_1,lha_2,lha_3,affordable_2,alignment,afford_cover,social_attach,compression,score
1,Burnley,East Lancs,curated,40,420,475,550,424,474,593,380,0.999,1.0,1.0,0.889,0.966
2,Hartlepool UA,Teesside,curated,90,425,500,550,409,474,549,400,0.969,1.0,1.0,0.896,0.956
3,Hyndburn,East Lancs,curated,70,425,495,600,424,474,593,396,0.981,1.0,0.972,0.858,0.942
4,South Tyneside,Tyneside,curated,50,425,500,620,489,549,648,400,1.0,1.0,0.957,0.844,0.94
5,"Kingston upon Hull, City of UA",Hull & East Riding,curated,400,425,495,575,379,474,549,396,0.934,1.0,0.989,0.877,0.933
6,Pendle,East Lancs,curated,90,450,520,595,424,474,593,416,0.95,1.0,0.944,0.887,0.929
7,North East Lincolnshire UA,Grimsby,curated,80,420,525,565,394,479,520,420,0.923,1.0,0.979,0.879,0.927
8,Rotherham,Rotherham,exact,150,475,550,570,429,499,549,440,0.924,1.0,0.927,0.923,0.924
9,Redcar and Cleveland UA,Teesside,curated,130,438,510,593,409,474,549,408,0.929,1.0,0.959,0.877,0.922
10,County Durham UA,Durham,curated,260,380,450,550,392,399,474,360,0.916,1.0,1.0,0.848,0.921
11,North Lincolnshire UA,Scunthorpe,curated,170,433,525,607,409,494,573,420,0.943,1.0,0.944,0.864,0.92
12,Gateshead,Tyneside,curated,110,475,580,650,489,549,648,464,0.981,1.0,0.867,0.873,0.914
13,Blackburn with Darwen UA,East Lancs,curated,150,450,524,620,424,474,593,419,0.934,1.0,0.927,0.869,0.913
14,Middlesbrough UA,Teesside,curated,80,450,525,595,409,474,549,420,0.911,1.0,0.941,0.887,0.913
15,Blackpool UA,Fylde Coast,curated,430,412,550,650,399,540,623,440,0.97,1.0,0.917,0.818,0.909
16,Stoke-on-Trent UA,Staffordshire North,curated,200,450,515,636,424,479,593,412,0.935,1.0,0.923,0.856,0.908
17,Doncaster,Doncaster,exact,320,475,550,600,424,499,549,440,0.904,1.0,0.91,0.905,0.906
18,Darlington UA,Darlington,curated,270,400,500,605,359,449,529,400,0.89,1.0,0.982,0.833,0.9
19,Barnsley,Barnsley,exact,190,475,500,625,414,449,549,400,0.882,1.0,0.924,0.877,0.893
20,Sunderland,Sunderland,curated,140,450,550,625,424,474,549,440,0.894,1.0,0.91,0.868,0.891
21,Preston,Central Lancs,curated,210,500,600,675,449,573,648,480,0.938,1.0,0.833,0.879,0.889
22,Northumberland UA,Northumberland,curated,150,425,495,616,374,424,529,396,0.865,1.0,0.962,0.846,0.888
23,Barrow-in-Furness,Barrow-in-Furness,exact,70,495,550,695,474,499,633,440,0.925,1.0,0.849,0.855,0.881
24,North Tyneside,Tyneside,curated,160,475,575,725,489,549,648,460,0.949,1.0,0.833,0.826,0.877
25,Lancaster,Lancaster,exact,290,525,600,705,474,573,648,480,0.926,1.0,0.808,0.879,0.876
26,Stockton-on-Tees UA,Teesside,curated,180,450,550,650,409,474,549,440,0.871,1.0,0.896,0.852,0.873
27,Scarborough,Scarborough,exact,180,450,600,700,424,549,648,480,0.927,1.0,0.845,0.824,0.871
28,Calderdale,Halifax,curated,300,488,575,700,439,524,623,460,0.9,1.0,0.838,0.852,0.867
29,Wigan,Wigan,exact,290,450,570,675,399,499,593,456,0.88,1.0,0.872,0.837,0.865
30,Bradford,Bradford & South Dales,curated,610,495,595,700,449,524,633,476,0.897,1.0,0.826,0.86,0.864
31,Knowsley,Greater Liverpool,curated,20,500,625,750,499,593,648,500,0.937,1.0,0.788,0.837,0.862
32,St. Helens,St Helens,exact,110,495,575,700,424,524,623,460,0.886,1.0,0.835,0.857,0.862
33,Chesterfield,Chesterfield,exact,170,500,600,695,449,524,598,480,0.877,1.0,0.823,0.867,0.858
34,Kirklees,Kirklees,exact,300,495,595,725,449,524,648,476,0.894,1.0,0.814,0.844,0.855
35,Rochdale,Oldham & Rochdale,curated,70,495,650,750,474,576,693,520,0.922,1.0,0.78,0.834,0.853
36,Bolton,Bolton and Bury,curated,140,525,600,775,474,573,698,480,0.92,1.0,0.778,0.835,0.852
37,Ashfield,North Nottingham,curated,70,500,625,695,444,549,583,500,0.868,1.0,0.812,0.867,0.851
38,Wolverhampton,Black Country,curated,260,500,675,795,494,623,748,540,0.951,1.0,0.75,0.816,0.85
39,Walsall,Black Country,curated,170,550,650,800,494,623,748,520,0.93,1.0,0.739,0.846,0.848
40,Chorley,Central Lancs,curated,100,485,625,750,449,573,648,500,0.902,1.0,0.795,0.825,0.847
41,East Riding of Yorkshire UA,Hull & East Riding,curated,210,450,565,675,379,474,549,452,0.831,1.0,0.875,0.837,0.846
42,South Ribble,Central Lancs,curated,60,498,625,750,449,573,648,500,0.894,1.0,0.789,0.835,0.845
43,Mansfield,North Nottingham,curated,120,540,625,700,444,549,583,500,0.844,1.0,0.792,0.895,0.844
44,Newcastle-under-Lyme,Staffordshire North,curated,80,490,595,695,424,479,593,476,0.841,1.0,0.83,0.859,0.843
45,Wakefield,Wakefield,exact,160,538,650,800,499,593,723,520,0.914,1.0,0.743,0.838,0.84
46,Wirral,Wirral,exact,230,475,600,750,424,524,648,480,0.876,1.0,0.81,0.815,0.838
47,Shropshire UA,Shropshire,exact,350,525,650,795,474,593,723,520,0.908,1.0,0.75,0.832,0.838
48,Rossendale,East Lancs,curated,50,500,595,700,424,474,593,476,0.831,0.998,0.823,0.863,0.838
49,Liverpool,Greater Liverpool,curated,680,585,675,750,499,593,648,540,0.865,1.0,0.735,0.899,0.836
50,Sheffield,Sheffield,exact,960,645,700,783,573,618,678,560,0.879,1.0,0.695,0.92,0.836
51,Derby UA,Derby,exact,450,500,650,788,449,593,698,520,0.899,1.0,0.763,0.818,0.834
52,Lincoln,Lincoln,exact,210,550,675,775,494,598,673,540,0.884,1.0,0.739,0.862,0.834
53,Ipswich,Ipswich,exact,300,675,775,860,593,715,798,620,0.91,1.0,0.64,0.902,0.826
54,North Devon,North Devon,exact,190,525,695,850,484,643,773,556,0.919,1.0,0.714,0.808,0.824
55,Dudley,Black Country,curated,350,525,680,850,494,623,748,544,0.912,1.0,0.719,0.806,0.823
56,Peterborough UA,Peterborough,exact,580,625,770,875,573,698,808,616,0.916,1.0,0.651,0.865,0.821
57,Northampton,Northampton,exact,520,675,800,950,643,748,898,640,0.944,1.0,0.609,0.861,0.819
58,Isle of Wight UA,Isle of Wight,exact,500,550,700,890,514,648,813,560,0.924,1.0,0.691,0.805,0.818
59,Birmingham,Birmingham,exact,1740,775,850,900,693,748,823,680,0.896,1.0,0.585,0.939,0.816
60,Sandwell,Black Country,curated,280,575,700,850,494,623,748,560,0.876,1.0,0.696,0.841,0.812
61,Swindon UA,Swindon,exact,370,725,825,1000,673,783,947,660,0.942,1.0,0.58,0.866,0.81
62,Plymouth UA,Plymouth,exact,920,600,750,895,549,673,798,600,0.901,1.0,0.658,0.839,0.81
63,Leicester UA,Leicester,exact,430,605,750,875,539,648,773,600,0.879,1.0,0.663,0.852,0.806
64,Solihull,Solihull,exact,130,705,875,1055,698,823,997,700,0.959,1.0,0.561,0.837,0.803
65,Nottingham UA,Nottingham,exact,710,675,775,850,549,648,748,620,0.843,1.0,0.643,0.906,0.802
66,Gloucester,Gloucester,exact,270,625,775,950,549,723,848,620,0.901,1.0,0.629,0.83,0.798
67,Oldham,Oldham & Rochdale,curated,50,550,675,850,474,576,693,540,0.843,1.0,0.712,0.822,0.798
68,Leeds,Leeds,exact,910,765,895,950,673,773,848,716,0.879,1.0,0.566,0.911,0.795
69,Harrogate,Harrogate,exact,340,625,795,995,593,734,873,636,0.916,1.0,0.612,0.812,0.794
70,Coventry,Coventry,exact,240,695,800,900,573,673,773,640,0.842,1.0,0.617,0.895,0.79
71,Thanet,Thanet,exact,220,650,825,1000,576,748,898,660,0.897,1.0,0.597,0.827,0.786
72,York UA,York,exact,700,750,865,995,673,773,823,692,0.873,1.0,0.566,0.885,0.784
73,Bedford UA,Bedford,exact,390,700,875,1100,648,823,997,700,0.924,1.0,0.553,0.816,0.78
74,Mendip,Mendip,exact,180,650,850,1100,598,773,972,680,0.905,1.0,0.568,0.788,0.769
75,Luton UA,Luton,exact,580,750,925,1200,698,873,1097,740,0.929,1.0,0.514,0.807,0.768
76,Ashford,Ashford,exact,140,800,940,1200,748,848,1095,752,0.916,1.0,0.503,0.831,0.767
77,Eastbourne,Eastbourne,exact,300,758,971,1195,718,898,1080,777,0.925,1.0,0.505,0.817,0.767
78,Bury,Bolton and Bury,curated,70,550,700,925,474,573,698,560,0.812,0.981,0.68,0.787,0.765
79,Newcastle upon Tyne,Tyneside,curated,430,650,750,850,489,549,648,600,0.749,0.936,0.657,0.891,0.764
80,Southampton UA,Southampton,exact,770,750,950,1200,698,873,1072,760,0.914,1.0,0.51,0.81,0.761
81,Winchester,Winchester,exact,190,900,1100,1350,823,1047,1271,880,0.936,1.0,0.441,0.835,0.757
82,Canterbury,Canterbury,exact,240,750,995,1200,673,893,1097,796,0.903,1.0,0.502,0.813,0.755
83,Maidstone,Maidstone,exact,240,795,975,1300,748,903,1197,780,0.929,1.0,0.481,0.796,0.755
84,Colchester,Colchester,exact,460,700,895,1155,623,793,972,716,0.873,1.0,0.537,0.797,0.749
85,Portsmouth UA,Portsmouth,exact,540,750,971,1195,693,843,997,777,0.876,1.0,0.507,0.813,0.746
86,Chichester,Chichester,exact,180,825,1050,1350,786,947,1222,840,0.92,1.0,0.458,0.8,0.745
87,Cheltenham,Cheltenham,exact,300,700,925,1200,623,798,997,740,0.861,1.0,0.523,0.783,0.736
88,Chelmsford,Chelmsford,exact,650,920,1100,1333,793,947,1197,880,0.874,1.0,0.441,0.849,0.736
89,Reading UA,Reading,exact,470,995,1250,1395,848,1092,1296,1000,0.885,1.0,0.406,0.864,0.735
90,Guildford,Guildford,exact,230,1000,1325,1575,947,1222,1476,1060,0.935,1.0,0.379,0.819,0.734
91,Worthing,Worthing,exact,240,850,1100,1350,758,947,1177,880,0.875,1.0,0.448,0.814,0.729
92,Milton Keynes UA,Milton Keynes,exact,680,875,1100,1350,773,922,1192,880,0.868,1.0,0.445,0.825,0.728
93,Exeter,Exeter,exact,240,750,950,1220,628,793,947,760,0.816,0.99,0.506,0.802,0.719
94,"Bristol, City of UA",Bristol,exact,960,1035,1325,1575,898,1092,1296,1060,0.838,1.0,0.376,0.832,0.697
95,Oxford,Oxford,exact,330,1133,1370,1600,898,1122,1321,1096,0.812,0.997,0.36,0.861,0.691
96,Brighton and Hove UA,Brighton and Hove,exact,470,1025,1375,1790,917,1197,1446,1100,0.858,1.0,0.353,0.776,0.682
97,Cambridge,Cambridge,exact,450,1175,1400,1550,898,947,1122,1120,0.721,0.902,0.358,0.888,0.662
